scope,provisional_trajectory,field,parser_class,dtype,shape,element_count,finite_count,nan_count,inf_count,minimum,maximum,unit,unit_evidence,sampling_granularity,provenance_class,content_sha256,status,reason
complete,ch4,Voltage,ndarray,float64,[1344049],1344049,1344049,0,0,2.999838,4.200079,V,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,924b756df980810a926d194566d3b00976e65b12ca331331822283115ba4a2f2,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch4,Cap_ch,ndarray,float64,[1344049],1344049,1344049,0,0,0.0,3.446131,Ah,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,dda0c6692bc6bf2bc860665508aebd89b8a8eb75b113eb3fafef11d169aef4c3,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch4,Cap_dis,ndarray,float64,[1344049],1344049,1344049,0,0,0.0,3.439313,Ah,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,d3adc4d96885c9994adce3194deac60bde39abbaefee7e923b653355b7c1372b,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch4,IR,ndarray,float64,[1344049],1344049,1352,1342697,0,0.0,0.0304967295378447,ohm_internal_resistance_not_ESR,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,aa4025883550118f467c4b16857fd9923f8b0cb1ee7af6407d24b687f261dc99,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch4,Temp,ndarray,float64,[1344049],1344049,1344049,0,0,19.95339,32.72788,degC,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,b72a42388069b7ce2fddd81eae5cf21b79a57368ab3d5adbab9a244c82729c6d,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch4,Method,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,string_unavailable_opaque,pinned_information_pdf_only,measurement_log_row,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch4,Cycle,ndarray,uint8,[148],148,148,0,0,2,150,cycle_index,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,da70b6444e21b2c5927282ccd23e08daeae874fa4ba0e99740cb1179c591454f,BLOCKED_UNEXPECTED_RAW_DTYPE,frozen raw audit observed Cycle as uint16
summary,ch4,Cap_ch,ndarray,float64,[148],148,148,0,0,0.003031177,3.446131,Ah,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,11ed4b42751df3cc55ca40c8d25e160d6e23142fc09061523d6bf6f7f8afea21,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch4,Cap_dis,ndarray,float64,[148],148,148,0,0,0.03839123,3.439313,Ah,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,000b7d59cf0ce5a00a785fd115cb6f89f9e3d5d3013d8a95b93c451d2ce4c802,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch4,IR,ndarray,float64,[148],148,148,0,0,0.0168075300753117,0.0304967295378447,ohm_internal_resistance_not_ESR,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,29f5c4594f822bc98fd211a9617cb7a30782a3b8b7be1c251cee7a977ca00f87,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch4,MaxTemp,ndarray,float64,[148],148,148,0,0,20.78817,32.72788,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,6e66d8a0efee1667b3d57e41b64b5fb2b3b62877ce3382c800337ec47793d302,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch4,MinTemp,ndarray,float64,[148],148,148,0,0,19.95339,21.68209,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,466a38e15d90b3cf1db55afee5fa6c339d50813b30c99d09f58970d1c2c539e9,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch4,AvgTemp,ndarray,float64,[148],148,148,0,0,20.707467499999996,27.858762469319473,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,cfb886a970d79dd5800bf180e524e2db193065883e6c663ade506e85edd110fc,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch4,ChargeTime,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,duration_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
